year,journal,title,doi,doi link,xplore id,ieee xplore direct link,ieee xplore pdf direct link,pdf filename
2021,TVCG,Visual Analytics for RNN-Based Deep Reinforcement Learning,10.1109/TVCG.2021.3076749,https://doi.org/10.1109/TVCG.2021.3076749,9420254,https://ieeexplore.ieee.org/document/9420254,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9420254,09420254.pdf
2021,TVCG,Visual Cascade Analytics of Large-scale Spatiotemporal Data,10.1109/TVCG.2021.3071387,https://doi.org/10.1109/TVCG.2021.3071387,9397369,https://ieeexplore.ieee.org/document/9397369,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9397369,09397369.pdf
2021,TVCG,Can visualization alleviate dichotomous thinking? Effects of visual representations on the cliff effect,10.1109/TVCG.2021.3073466,https://doi.org/10.1109/TVCG.2021.3073466,9405484,https://ieeexplore.ieee.org/document/9405484,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9405484,09405484.pdf
2021,TVCG,Probabilistic Data-Driven Sampling via Multi-Criteria Importance Analysis,10.1109/TVCG.2020.3006426,https://doi.org/10.1109/TVCG.2020.3006426,9130956,https://ieeexplore.ieee.org/document/9130956,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9130956,09130956.pdf
2021,TVCG,Unordered Task-Parallel Augmented Merge Tree Construction,10.1109/TVCG.2021.3076875,https://doi.org/10.1109/TVCG.2021.3076875,9420248,https://ieeexplore.ieee.org/document/9420248,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9420248,09420248.pdf
2021,TVCG,Showing Data about People: A Design Space of Anthropographics,10.1109/TVCG.2020.3023013,https://doi.org/10.1109/TVCG.2020.3023013,9189859,https://ieeexplore.ieee.org/document/9189859,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9189859,09189859.pdf
2021,TVCG,Tracking Internal Frames of Reference for Consistent Molecular Distribution Functions,10.1109/TVCG.2021.3051632,https://doi.org/10.1109/TVCG.2021.3051632,9324971,https://ieeexplore.ieee.org/document/9324971,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9324971,09324971.pdf
2021,TVCG,Nebula: A Coordinating Grammar of Graphics,10.1109/TVCG.2021.3076222,https://doi.org/10.1109/TVCG.2021.3076222,9417674,https://ieeexplore.ieee.org/document/9417674,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9417674,09417674.pdf
2021,TVCG,Interactive Graph Construction for Graph-Based Semi-Supervised Learning,10.1109/TVCG.2021.3084694,https://doi.org/10.1109/TVCG.2021.3084694,9444198,https://ieeexplore.ieee.org/document/9444198,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9444198,09444198.pdf
2021,TVCG,InfoColorizer: Interactive Recommendation of Color Palettes for Infographics,10.1109/TVCG.2021.3085327,https://doi.org/10.1109/TVCG.2021.3085327,9444798,https://ieeexplore.ieee.org/document/9444798,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9444798,09444798.pdf
2021,TVCG,Deconstructing Categorization in Visualization Recommendation: A Taxonomy and Comparative Study,10.1109/TVCG.2021.3085751,https://doi.org/10.1109/TVCG.2021.3085751,9444894,https://ieeexplore.ieee.org/document/9444894,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9444894,09444894.pdf
2021,TVCG,Accelerating Unstructured Mesh Point Location with RT Cores,10.1109/TVCG.2020.3042930,https://doi.org/10.1109/TVCG.2020.3042930,9286513,https://ieeexplore.ieee.org/document/9286513,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9286513,09286513.pdf
2021,TVCG,HisVA: a Visual Analytics System for Learning History,10.1109/TVCG.2021.3086414,https://doi.org/10.1109/TVCG.2021.3086414,9447222,https://ieeexplore.ieee.org/document/9447222,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9447222,09447222.pdf
2021,TVCG,Conceptual metaphor and graphical convention influence the interpretation of line graphs,10.1109/TVCG.2021.3088343,https://doi.org/10.1109/TVCG.2021.3088343,9451590,https://ieeexplore.ieee.org/document/9451590,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9451590,09451590.pdf
2021,TVCG,"Implicit Error, Uncertainty and Confidence in Visualization: an Archaeological Case Study",10.1109/TVCG.2021.3088339,https://doi.org/10.1109/TVCG.2021.3088339,9451614,https://ieeexplore.ieee.org/document/9451614,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9451614,09451614.pdf
2021,CG&A,What we talk about when we talk about data physicality,10.1109/MCG.2020.3024146,https://doi.org/10.1109/MCG.2020.3024146,9198117,https://ieeexplore.ieee.org/document/9198117,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9198117,09198117.pdf
2021,CG&A,Data Badges: Making an Academic Profile Through a DIY Wearable Physicalization,10.1109/MCG.2020.3025504,https://doi.org/10.1109/MCG.2020.3025504,9201309,https://ieeexplore.ieee.org/document/9201309,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9201309,09201309.pdf
2021,CG&A,Move&Find: The Value of Kinaesthetic Experience in a Casual Data Representation,10.1109/MCG.2020.3025385,https://doi.org/10.1109/MCG.2020.3025385,9201404,https://ieeexplore.ieee.org/document/9201404,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9201404,09201404.pdf
2021,CG&A,Slave Voyages: Reflections on Data Sculptures,10.1109/MCG.2020.3025183,https://doi.org/10.1109/MCG.2020.3025183,9200769,https://ieeexplore.ieee.org/document/9200769,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9200769,09200769.pdf
2021,CG&A,Narrative Physicalization: Supporting Interactive Engagement With Personal Data,10.1109/MCG.2020.3025078,https://doi.org/10.1109/MCG.2020.3025078,9200790,https://ieeexplore.ieee.org/document/9200790,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9200790,09200790.pdf
2021,CG&A,Data Clothing and BigBarChart: Designing Physical Data Reports on Indoor Pollutants for Individuals and Communities,10.1109/MCG.2020.3025322,https://doi.org/10.1109/MCG.2020.3025322,9201339,https://ieeexplore.ieee.org/document/9201339,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9201339,09201339.pdf
2021,CG&A,Dynamic 3-D Visualization of Climate Model Development and Results,10.1109/MCG.2020.3042587,https://doi.org/10.1109/MCG.2020.3042587,9281098,https://ieeexplore.ieee.org/document/9281098,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9281098,09281098.pdf
2021,CG&A,Exploring the Design Space of Sankey Diagrams for the Food-Energy-Water Nexus,10.1109/MCG.2019.2927556,https://doi.org/10.1109/MCG.2019.2927556,8758151,https://ieeexplore.ieee.org/document/8758151,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8758151,08758151.pdf
2021,CG&A,QuteVis: Visually Studying Transportation Patterns Using Multisketch Query of Joint Traffic Situations,10.1109/MCG.2019.2911230,https://doi.org/10.1109/MCG.2019.2911230,8691491,https://ieeexplore.ieee.org/document/8691491,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8691491,08691491.pdf
2021,CG&A,Many Views Are Not Enough: Designing for Synoptic Insights in Cultural Collections,10.1109/MCG.2020.2985368,https://doi.org/10.1109/MCG.2020.2985368,9057396,https://ieeexplore.ieee.org/document/9057396,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9057396,09057396.pdf
2021,CG&A,CLEVis: A Semantic Driven Visual Analytics System for Community Level Events,10.1109/MCG.2020.2973939,https://doi.org/10.1109/MCG.2020.2973939,8999535,https://ieeexplore.ieee.org/document/8999535,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8999535,08999535.pdf
2022,CG&A,Surgical Navigation System for Low-Dose-Rate Brachytherapy Based on Mixed Reality,10.1109/MCG.2019.2963657,https://doi.org/10.1109/MCG.2019.2963657,,,,
2022,CG&A,"Visualization for Architecture, Engineering, and Construction: Shaping the Future of Our Built World",10.1109/MCG.2022.3149837,https://doi.org/10.1109/MCG.2022.3149837,,,,
2022,CG&A,Visual Parameter Space Analysis for Optimizing the Quality of Industrial Nonwovens,10.1109/MCG.2022.3155867,https://doi.org/10.1109/MCG.2022.3155867,,,,
2022,CG&A,Reflections on Visualization Research Projects in the Manufacturing Industry,10.1109/MCG.2022.3156846,https://doi.org/10.1109/MCG.2022.3156846,,,,
2022,CG&A,Situated Visual Analysis and Live Monitoring for Manufacturing,10.1109/MCG.2022.3157961,https://doi.org/10.1109/MCG.2022.3157961,,,,
2022,CG&A,Stress Visualization for Interface Optimization of a Hybrid Component Using Surface Tensor Spines,10.1109/MCG.2022.3149875,https://doi.org/10.1109/MCG.2022.3149875,,,,
2022,CG&A,A Taxonomy-Driven Model for Designing Educational Games in Visualization,10.1109/MCG.2021.3116042,https://doi.org/10.1109/MCG.2021.3116042,,,,
2022,CG&A,Remote Instruction for Data Visualization Design-A Report From the Trenches,10.1109/MCG.2021.3116042,https://doi.org/10.1109/MCG.2021.3116042,,,,
2022,CG&A,A Didactic Framework for Analyzing Learning Activities to Design InfoVis Courses,10.1109/MCG.2021.3115416,https://doi.org/10.1109/MCG.2021.3115416,,,,
2022,CG&A,Through the Looking Glass: Insights Into Visualization Pedagogy Through Sentiment Analysis of Peer Review Text,10.1109/MCG.2021.3115387,https://doi.org/10.1109/MCG.2021.3115387,,,,
2022,CG&A,Visualization Design Sprints for Online and On-Campus Courses,10.1109/MCG.2021.3115413,https://doi.org/10.1109/MCG.2021.3115413,,,,
2022,CG&A,Activity Worksheets for Teaching and Learning Data Visualization,10.1109/MCG.2021.3115396,https://doi.org/10.1109/MCG.2021.3115396,,,,
