PCS-ID,Title,Year,DOI,DOI URL
1746,Measuring Distortion in the Empty Regions of Dimensionality Reduction Scatterplots with the Gap Index,2026,10.vis2026/1746,https://doi.org/10.vis2026/1746
1759,Cost-Benefit Modeling of Interactive Visual Machine Learning Systems,2026,10.vis2026/1759,https://doi.org/10.vis2026/1759
1760,FZ-VIS: A Visual Analytics Framework for Quantities-of-Interest-Aware Scientific Lossy Compression,2026,10.vis2026/1760,https://doi.org/10.vis2026/1760
1761,FADEx: Feature Attribution and Distortion-based Explanation of Dimensionality Reduction,2026,10.vis2026/1761,https://doi.org/10.vis2026/1761
1763,"Read, Critique, or Sketch? Investigating Alternative Visualization Literacy Assessment Modalities",2026,10.vis2026/1763,https://doi.org/10.vis2026/1763
1765,Sheaves for Visual Encodings and Visual Fusion,2026,10.vis2026/1765,https://doi.org/10.vis2026/1765
1766,"Explainable Mapper: Charting LLM Embedding Spaces Using Perturbation-Based Exploration, Explanation, and Verification Agents",2026,10.vis2026/1766,https://doi.org/10.vis2026/1766
1772,Charting Public Health: A Taxonomic Study of Visualization Practices in the Public Health Field,2026,10.vis2026/1772,https://doi.org/10.vis2026/1772
1782,Predicting affective connotation of visualizations from their constituent colors,2026,10.vis2026/1782,https://doi.org/10.vis2026/1782
1785,Beyond the Post Hoc User Study: Modeling Visual Decision-Making with Active Inference,2026,10.vis2026/1785,https://doi.org/10.vis2026/1785
1789,ProgressiVis: A Language and Environment for Progressive Data Analysis and Visualization,2026,10.vis2026/1789,https://doi.org/10.vis2026/1789
1792,Juicy Interactive Visualization: Evaluating How Excessive Feedback Design Shapes Visualization Engagement,2026,10.vis2026/1792,https://doi.org/10.vis2026/1792
1813,On Defining Chart Types Boundaries,2026,10.vis2026/1813,https://doi.org/10.vis2026/1813
1823,A Query-Efficient Stochastic Volume Rendering Framework for Time-Varying Implicit Neural Volumes,2026,10.vis2026/1823,https://doi.org/10.vis2026/1823
1830,FA-INR: Adaptive Implicit Neural Representations for Interpretable Exploration of Simulation Ensembles,2026,10.vis2026/1830,https://doi.org/10.vis2026/1830
1839,Topological Analysis of Kernel Density Estimates via Uncertainty-Aware Morse Complexes and Coresets,2026,10.vis2026/1839,https://doi.org/10.vis2026/1839
1927,Flint: A Semantic-driven Data Visualization Intermediate Language,2026,10.vis2026/1927,https://doi.org/10.vis2026/1927
2017,ChartFI: Benchmarking Faithfulness and Insightfulness of Chart Descriptions from Multimodal Large Language Models,2026,10.vis2026/2017,https://doi.org/10.vis2026/2017
2024,FOX: Visual Exploration of Data Fact Outliers,2026,10.vis2026/2024,https://doi.org/10.vis2026/2024
2032,Super-Gaussian: Interactive Scene Editing for 3D Gaussian Splatting and NLI-Based Volume Visualization in Virtual Reality,2026,10.vis2026/2032,https://doi.org/10.vis2026/2032
2033,ESVR: 3D Ellipsoid-based Sparse Volume Rendering via Structure-aware Primitive Learning and Per-primitive Ray Sampling,2026,10.vis2026/2033,https://doi.org/10.vis2026/2033
